SG_UF;NM_URNA_CANDIDATO;QT_VOTOS_NOMINAIS
SP;JAIR BOLSONARO;14216587
MG;LULA;6190960
BA;LULA;6097815
RJ;JAIR BOLSONARO;5403894
PR;JAIR BOLSONARO;4159343
CE;LULA;3807891
RS;JAIR BOLSONARO;3733185
PE;LULA;3640933
SC;JAIR BOLSONARO;3047630
MA;LULA;2668425
PA;LULA;2509084
GO;JAIR BOLSONARO;2193041
PB;LULA;1601953
PI;LULA;1551383
RN;LULA;1326785
ES;JAIR BOLSONARO;1282145
MT;JAIR BOLSONARO;1216730
DF;JAIR BOLSONARO;1041331
AM;LULA;1004991
AL;LULA;976831
MS;JAIR BOLSONARO;880606
SE;LULA;862951
RO;JAIR BOLSONARO;633236
TO;LULA;434593
AC;JAIR BOLSONARO;287750
RR;JAIR BOLSONARO;213518
AP;JAIR BOLSONARO;200547
